DTXSID_combined,Formula,Mass,Name,NumSpectra
DTXSID0020369,C6H10N6O,182.091609,Dacarbazine,5.0
DTXSID00143007,C8H17NO2,159.125929,8-Amino Caprylic acid,4.0
DTXSID00155362,C12H12N4O3S,292.063011,N-Acetylsulfadiazine,3.0
DTXSID00157902,C15H24N2O17P2,566.05502,UDP-glucose,3.0
DTXSID00164156,C29H50N2O3,474.382143,DL-PPMP,3.0
DTXSID00165507,C17H19N3,265.157898,antazoline,3.0
DTXSID00167364,C19H33NO2,307.251129,FTY720,5.0
DTXSID00168078,C22H36O3,348.266445,Anacardic Acid,3.0
DTXSID00176234,C9H12NO6P,261.040224,O-Phospho-DL-Tyrosine,6.0
DTXSID00186833,C29H31N5O4,513.237605,ZM 447439,3.0
DTXSID00191568,C15H10O4,254.057909,"7,8-Dihydroxyflavone",6.0
DTXSID00196932,C12H8I,278.967068,Diphenyleneiodonium,3.0
DTXSID00197565,C10H19NO,169.146664,Lupinine,1.0
DTXSID00199549,C4H6O4,118.026609,Methylmalonic acid,3.0
DTXSID0020070,C6H13NO2,131.094629,aminocaproic acid,4.0
DTXSID0020107,C14H18N2O5,294.12157,Asp-Phe methyl ester,6.0
DTXSID00202441,C4H6O3,102.031694,Acetoacetic acid,1.0
DTXSID00203271,C32H22O10,566.121297,Isoginkgetin,6.0
DTXSID0020365,C62H111N11O12,1201.841368,Cyclosporin A,6.0
DTXSID0020442,C8H6Cl2O3,219.969399,"2,4-Dichlorophenoxyacetic Acid",3.0
DTXSID0020446,C9H10Cl2N2O,232.017018,Diuron,3.0
DTXSID0020523,C6H4N2O5,184.012021,"2,4-Dinitrophenol",3.0
DTXSID00205992,C10H8O5,208.037173,Fraxetin,6.0
DTXSID0020650,C7H6O5,170.021523,Gallic acid,3.0
DTXSID0020652,C15H22O3,250.156895,Gemfibrozil,3.0
DTXSID0020737,C8H7N,117.057849,Indole,3.0
DTXSID0020810,C5H4N4S,152.015667,6-Mercaptopurine,3.0
DTXSID0021125,C20H14O4,318.089209,Phenolphthalein,6.0
DTXSID0021256,C18H14N4O5S,398.06849,Sulfasalazine,6.0
DTXSID0021337,C10H7N3S,201.036068,Thiabendazole,3.0
DTXSID0021460,C18H22O5,318.146724,Zearalenone,3.0
DTXSID0021595,C21H42O2,326.318481,heneicosanoic acid,2.0
DTXSID0021709,C7H7NO,121.052764,Benzamide,3.0
DTXSID00219231,C4H6O3,102.031694,Succinic acid semialdehyde,1.0
DTXSID00221137,C15H23N5O4,337.175004,D[-Arg-2]Kyotorphan,6.0
DTXSID0022309,C15H14O3,242.094294,(S)-Equol,3.0
DTXSID0022519,C19H19N7O6,441.139681,Folic acid,5.0
DTXSID00225377,C26H55NO7P,524.371615,PAF C-16,3.0
DTXSID0022721,C27H44O2,400.334131,25-Hydroxycholecalciferol (25-hydroxyvitamin D3),3.0
DTXSID0022725,C33H34N6O6,610.253983,Candesartan Cilextil,6.0
DTXSID0022773,C18H18N8O7S3,554.046057,Ceftriaxone,6.0
DTXSID0022777,C17H14F3N3O2S,381.075882,Celecoxib,6.0
DTXSID0022800,C7H6ClN3O4S2,294.948825,Chlorothiazide,3.0
DTXSID0022808,C17H19ClN2S,318.095747,Chlorpromazine,3.0
DTXSID0022858,C23H30O6,402.204239,Cortisone acetate,2.0
DTXSID0022985,C10H15NO,165.115364,Ephedrine,3.0
DTXSID0023038,C14H19N5O4,321.143704,Famciclovir,3.0
DTXSID0023169,C25H28N6O,428.23246,Irbesartan,6.0
DTXSID0023290,C11H17NO3,211.120843,Methoxamine,3.0
DTXSID0023323,C8H17NO5,207.110673,Miglitol,5.0
DTXSID0023329,C15H15NO2S,273.082349,Modafinil,3.0
DTXSID0023458,C18H22ClNO,303.138992,Phenoxybenzamine,3.0
DTXSID0023535,C19H21N,263.1674,Protriptyline,1.0
DTXSID0023537,C10H15NO,165.115364,Pseudoephedrine,3.0
DTXSID0023581,C25H38O5,418.271924,Simvastatin,3.0
DTXSID0023612,C11H12N4O2S,264.068096,Sulfamerazine,3.0
DTXSID0023618,C23H20N2O3S,404.119463,Sulfinpyrazone,3.0
DTXSID00236246,C20H38O4,342.27701,MEDICA 16,3.0
DTXSID0023664,C15H24N2O4S,328.145678,Tiapride,3.0
DTXSID0023745,C5H10O5,150.052823,D-(+)-Xylose,2.0
DTXSID0023901,C10H12N2O3S,240.056863,Bentazon,3.0
DTXSID00242509,C19H24O3,300.172545,"4-Androsten-3,17-dione 19-aldehyde",1.0
DTXSID0025078,C10H8O4,192.042259,"5,7-Dihydroxy-4-Methylcoumarin",6.0
DTXSID0025440,C6H17N3,131.142248,Caldine,3.0
DTXSID0025523,C6H6O3,126.031694,Larixinic Acid,2.0
DTXSID0025814,C5H4N2O4,156.017107,Orotic acid,2.0
DTXSID0025818,C28H41N3O3,467.314792,Oxethazaine,3.0
DTXSID0025864,C8H11NO,137.084064,p-Phenetidine,1.0
DTXSID0025997,C20H28O,284.214016,13-cis-retinal,3.0
DTXSID0026339,C29H50O2,430.381081,(+)-a-Tocopherol,6.0
DTXSID0026549,C6H10O6,178.047738,Gluconolactone,5.0
DTXSID00274340,C20H32O2,304.24023,"8,11-eicosadiynoic acid",3.0
DTXSID00274380,C10H10N2O4,222.064057,CBHA,2.0
DTXSID00274441,C17H31F3O,308.2327,Palmityl Trifluoromethyl Ketone,3.0
DTXSID00276344,C5H11NO3,133.073893,L-O-Methylthreonine,3.0
DTXSID0027640,C4H6O5,134.021523,Malic acid,2.0
DTXSID00299654,C9H9N2,145.076573,4-Aminomethylindole,2.0
DTXSID0030588,C9H13NO2,167.094629,4-(1-hydroxy-2-(methylamino)ethyl)phenol,3.0
DTXSID0030823,C3H7NO2,89.047678,ß-Alanine,3.0
DTXSID0032316,C8H9ClO,156.034193,chloroxylenol,1.0
DTXSID0036766,C15H20O4,264.136159,(+)-Abscisic Acid,6.0
DTXSID0037102,C27H45NO2,415.34503,tomatidine,1.0
DTXSID0037237,C23H28ClN3O5S,493.143819,Glyburide,6.0
DTXSID0037653,C22H24N2O8,444.153266,Doxycycline,3.0
DTXSID00390594,C21H36O5,368.256274,15(R)-15-methyl PGF2a,3.0
DTXSID00390599,C20H30O3,318.219495,12-oxo-ETE,6.0
DTXSID0039223,C7H14N2O2S,190.077598,aldicarb,2.0
DTXSID0040123,C18H16O7,344.089603,(-)-Usnic acid,5.0
DTXSID00401775,C17H12ClF3N2O,352.059025,SC-560,2.0
DTXSID0040549,C10H14N4O2,222.111676,IBMX,6.0
DTXSID0040628,C18H32O2,280.24023,"10(E),12(Z)-Conjugated Linoleic Acid",5.0
DTXSID0040672,C15H13N3O2S,299.072847,fenbendazole,3.0
DTXSID0040676,C21H27N5O4S,445.178375,Glipizide,3.0
DTXSID0040751,C21H23NO4,353.162708,N- (9-Fluorenylmethoxycarbonyl)-L-Leucine,6.0
DTXSID00408921,C7H8N2O2,152.058578,3-Pyrimidin-2-yl-Propionic Acid,4.0
DTXSID0040961,C5H14N4,130.121846,Agmatine,2.0
DTXSID0040969,C17H11NO7,341.053552,Aristolochic Acid,3.0
DTXSID0041012,C12H9NO2,199.063329,Dictamnine,3.0
DTXSID0041060,C18H20FN3O4,361.143784,Levofloxacin,3.0
DTXSID0041068,C21H20N4O3,376.153541,MS-275,3.0
DTXSID0041197,C16H30O2,254.22458,cis-9-palmitoleic acid,2.0
DTXSID0042662,C24H40O4,392.29266,Deoxycholic acid,3.0
DTXSID00432706,C17H18Cl3NO3,389.035227,Celastramycin A,6.0
DTXSID0043896,C16H16ClNO3,305.081871,fenoldopam,3.0
DTXSID00439851,C24H23Cl3N4O,488.093745,NESS 0327,5.0
DTXSID0044024,C16H14F3IN2O4,481.995035,PD 0325901,3.0
DTXSID0044444,C12H24O11,344.131862,Maltitol,3.0
DTXSID0045048,C11H12N4O2,232.096026,Todralazine,2.0
DTXSID0045090,C20H25NO,295.193614,Pridinol,3.0
DTXSID0045127,C15H23NO2,249.172879,Alprenolol,3.0
DTXSID0045171,C9H15N4O4,243.10933,Molsidomine,3.0
DTXSID0045179,C9H13ClN6O2,272.078851,Nimustine,6.0
DTXSID0045206,C6H8N2O2,140.058578,Gaboxadol,3.0
DTXSID0045254,C21H30O3,330.219495,Deoxycorticosterone,3.0
DTXSID0045383,C14H22BrN3O2,343.08954,Bromopride,6.0
DTXSID0045385,C11H16N2O8,304.090666,Spaglumic Acid,3.0
DTXSID0045462,C14H13N3O5S,335.057591,Isoxicam,6.0
DTXSID0045597,C15H13NO3,255.089543,Ketorolac,3.0
DTXSID0045626,C10H11NO3,193.073893,Betamipron,3.0
DTXSID0045703,C15H12N2O2,252.089878,Oxcarbazepine,3.0
DTXSID0045759,C16H24N2O4,308.173607,Bestatin,6.0
DTXSID0045830,C19H23N3O4S,389.140927,Hetacillin,3.0
DTXSID0045836,C7H5N3O5,211.02292,Nitromide,3.0
DTXSID0045886,C14H20Br2N2,373.999324,Bromhexine,3.0
DTXSID0045965,C23H28N2O4,396.204907,Quinine Ethyl Carbonate,3.0
DTXSID00466743,C18H19N3O3S,357.114712,Rosiglitazone,3.0
DTXSID0046933,C20H21N,275.1674,cyclobenzaprine,3.0
DTXSID0047030,C3H6O3,90.031694,D-(-)-Lactic acid,2.0
DTXSID0047084,C6H7NO,109.052764,2-Acetylpyrrole,3.0
DTXSID00471559,C25H27N5,397.226646,AT-56,3.0
DTXSID0047799,C21H44O3,344.329045,Batyl Alcohol,2.0
DTXSID0048216,C20H23N7O7,473.165896,Leucovorin,2.0
DTXSID0048680,C9H9I2NO3,432.867179,"L-3,5-Diiodotyrosine",3.0
DTXSID0048713,C25H31FO8,478.200296,Triamcinolone Diacetate,3.0
DTXSID0048894,C11H14N2O,190.110613,3-(2-(methylamino)ethyl)-1H-indol-5-ol,3.0
DTXSID0050425,C11H19NO9,309.105981,N-Acetylneuraminic Acid,2.0
DTXSID0051782,C5H5NO2,111.032028,"2,3-Dihydroxy-pyridine",3.0
DTXSID00541665,C22H41NO3,367.308644,N-octadecanoyl-L-Homoserine lactone,6.0
DTXSID0057754,C6H5NO3,139.026943,6-Hydroxynicotinic acid,5.0
DTXSID0058772,C4H9NO2,103.063329,2-Aminoisobutyric acid,3.0
DTXSID0058776,C4H10N3O5P,211.035807,Phosphocreatine,3.0
DTXSID0060068,C6H4N4O2,164.033425,Lumazine,4.0
DTXSID0063319,C16H12O3,252.078644,4'-Methoxyflavone,3.0
DTXSID00647434,C20H26ClN3O2S,407.143426,YS121,6.0
DTXSID00657694,C21H36NO4P,397.238195,S32826,6.0
DTXSID00693936,C21H44NO7P,453.285539,Glycerophospho-N-Palmitoyl Ethanolamine,6.0
DTXSID00694004,C22H32O3,344.235145,(±)7-HDoHE,3.0
DTXSID00694009,C22H32O3,344.235145,(±)20-HDoHE,3.0
DTXSID00694029,C21H35NO,317.271865,N-methyl arachidonoyl amine,4.0
DTXSID00722396,C21H21FN2O4S,416.120606,CAY10471,6.0
DTXSID00723828,C20H34O5,354.240624,8-iso-15(R)-PGF2a,3.0
DTXSID00724557,C20H34O5,354.240624,6a-PGI1,3.0
DTXSID00735587,C21H41NO3,355.308644,N-Hexadecyl-L-hydroxyproline,5.0
DTXSID0075368,C10H8O4,192.042259,Scopoletin,3.0
DTXSID00849613,C22H32O5,376.224974,17(R)-Resolvin D1,3.0
DTXSID00861411,C32H39NO4,501.287909,Fexofenadine,3.0
DTXSID00883219,C5H12N2O2,132.089878,Ornithine,3.0
DTXSID00891233,C20H28O,284.214016,9-cis-retinal,3.0
DTXSID00891798,C20H20N2O3,336.147393,Cyclopiazonic Acid,3.0
DTXSID00893055,C10H13N5O5,283.091669,Guanosine,6.0
DTXSID00895852,C18H30O2,278.22458,Pinolenic Acid,3.0
DTXSID00895857,C14H12O2,212.08373,Pinosylvin,3.0
DTXSID00896763,C25H23N5O2S,457.157246,Ro 31-8220,3.0
DTXSID00903946,C30H47N3O9S,625.303301,Leukotriene C4,6.0
DTXSID00903961,C15H22N2O18P2,580.034285,Uridine 5'-diphosphoglucuronic acid,3.0
DTXSID10110043,C13H17N3O4S,311.093977,Dipyrone,3.0
DTXSID10143573,C19H12O6,336.063388,Pachyrrhizin,3.0
DTXSID10151315,C18H16O5,312.099774,"Biochanin A, Dimethyl Ether",3.0
DTXSID10153258,C14H10O3,226.062994,2-Methoxyxanthone,3.0
DTXSID10157897,C15H14O4,258.089209,Peucedanin,3.0
DTXSID10159018,C20H28O2,300.20893,"5,8,11-Eicosatriynoic Acid",5.0
DTXSID10161994,C16H11BrN2O,326.005476,Kenpaullone,6.0
DTXSID10162188,C12H18ClN7O,311.126136,"N,N-Hexamethyleneamiloride",3.0
DTXSID10165876,C11H13F3N2,230.103083,N- (3-Trifluoromethylphenyl)Piperazine (TFMPP),3.0
DTXSID10167719,C23H25IN2O3,504.090986,AM630,3.0
DTXSID10167835,C11H12N2,172.100048,Noreleagnine,3.0
DTXSID10174362,C2H8NO3P,125.02418,2-Aminoethylphosphonic acid,6.0
DTXSID10175117,C24H23NO,341.177964,JWH 018,3.0
DTXSID10175556,C13H13OP,216.070402,Diphenylmethylphosphine oxide,4.0
DTXSID10177717,C20H31NO3,333.230394,Carbetapentane,3.0
DTXSID10192945,C9H6FNO2,179.038257,5-Fluoroindole-2-Carboxylic Acid,3.0
DTXSID1020013,C8H9N3O2,179.069477,Acetylisoniazid,3.0
DTXSID10200231,C23H22O6,394.141638,Deguelin(-),3.0
DTXSID1020699,C12H18O2,194.13068,hexylresorcinol,3.0
DTXSID1020803,C14H13N3O4S2,351.034747,Meloxicam,6.0
DTXSID1020930,C10H14N2,162.115698,L-Nicotine,3.0
DTXSID1020932,C6H5NO2,123.032028,Niacin (Nicotinic acid),6.0
DTXSID1020982,C3H5NO4,119.021858,Bovinocidin (3-Nitropropionic Acid),3.0
DTXSID1021089,C13H11NO5,261.063722,Oxolinic Acid,3.0
DTXSID1021114,C19H35N,277.27695,Perhexiline,3.0
DTXSID1021116,C10H13NO2,179.094629,Phenacetine,3.0
DTXSID10211483,C33H58N7O17P3S,949.282274,Lauroyl-CoA,3.0
DTXSID1021322,C10H20N2S4,296.050932,Disulfiram,3.0
DTXSID1021871,C6H5ClO,128.002892,Parachlorophenol,3.0
DTXSID1021906,C3H10N2,74.084398,"1,3-Propanediamine",2.0
DTXSID10220252,C12H18N2O,206.141913,Oxotremorine,3.0
DTXSID10221921,C9H10O3,166.062994,3-Phenoxypropionic acid,3.0
DTXSID1022217,C10H12O4,196.073559,Asarylaldehyde,3.0
DTXSID1022265,C14H20ClNO2,269.118257,Alachlor,3.0
DTXSID1022267,C5H10N2O2S,162.046298,Methomyl,3.0
DTXSID1022392,C15H12O5,272.068473,(-)-Naringenin,6.0
DTXSID1022394,C16H12O5,284.068473,Biochanin A,6.0
DTXSID1022396,C15H10O4,254.057909,Chrysin,6.0
DTXSID1022398,C15H10O7,302.042653,Morin,3.0
DTXSID1022554,C42H53NO15,811.34152,Aclarubicin,6.0
DTXSID1022556,C8H11N5O3,225.086189,Acyclovir,6.0
DTXSID1022558,C10H13N5O4,267.096754,Adenosine,6.0
DTXSID1022639,C20H23N5O6S,461.136904,Azlocillin,6.0
DTXSID1022685,C11H17BrN,242.05444,Bretylium Tosylate,3.0
DTXSID1022764,C16H17N3O7S2,427.050791,Cefoxitin,3.0
DTXSID1022847,C14H20ClN3O3S,345.09139,Clopamide,6.0
DTXSID1022893,C21H21ClN2O8,464.098643,Demeclocycline,3.0
DTXSID1022922,C6H6Cl2N2O4S2,303.914604,dichlorphenamide,3.0
DTXSID1022924,C19H17Cl2N3O5S,469.026597,dicloxacillin,6.0
DTXSID1023100,C5H10N2O3,146.069142,Glutamine,5.0
DTXSID1023106,C3H9O6P,172.013675,Glycerol 2-phosphate,3.0
DTXSID1023233,C12H22O11,342.116212,Maltose,3.0
DTXSID1023235,C6H14O6,182.079038,D-Mannitol,2.0
DTXSID1023281,C5H8N4O3S2,236.003782,Methazolamide,6.0
DTXSID1023289,C19H24N2OS,328.160934,Methotrimeprazine,3.0
DTXSID1023368,C13H9F3N2O2,282.061612,Niflumic Acid,6.0
DTXSID1023572,C14H10O5,258.052823,Salsalate,3.0
DTXSID1023653,C11H18N2O2S,242.108899,Thiopental,3.0
DTXSID1023730,C9H11NO3,181.073893,L-Tyrosine,5.0
DTXSID10237406,C16H13NO4,283.084458,4-Naphthalimidobutyric Acid,6.0
DTXSID10237981,C10H12O4,196.073559,Xanthoxylin,3.0
DTXSID1023817,C13H22N2,206.178299,Dicyclohexylcarbodiimide,3.0
DTXSID1024174,C12H27OPS3,314.096164,"S,S,S,-Tributylphosphorotrithioate",3.0
DTXSID1025065,C56H92O29,1228.572427,Digitonin,3.0
DTXSID1025560,C12H8O4,216.042259,Bergapten,3.0
DTXSID1025801,C18H39N,269.30825,1-Octadecanamine,1.0
DTXSID1025809,C18H34O2,282.25588,Oleic Acid,2.0
DTXSID10274270,C9H8ClNO3,213.019271,2-(3-chlorobenzamido)acetic acid,3.0
DTXSID10295248,C10H15NO2,181.110279,2-(BENZYLMETHYLAMINO)-ETHANOL N-OXIDE,3.0
DTXSID1029889,C22H18O11,458.084911,Epigallocatechin Gallate,6.0
DTXSID10310602,C9H6BrN,206.968362,6-Bromoisoquinoline,3.0
DTXSID1031096,C31H52O3,472.391646,alpha-Tochopheryl Acetate ,3.0
DTXSID1034260,C22H24N2O9,460.14818,Oxytetracycline,3.0
DTXSID1034769,C17H27NO3,293.199094,Desmethyldihydrocapsaicin,6.0
DTXSID10357239,C16H14N2O2,266.105528,URB754,6.0
DTXSID1036541,C21H32O2,316.24023,Pregnenolone,3.0
DTXSID10369135,C8H12O4,172.073559,(-)-Corey Lactone Diol,2.0
DTXSID10369453,C15H29NO2S,287.1919,CAY10444,6.0
DTXSID1037272,C13H14N2,198.115698,Tacrine,5.0
DTXSID10390585,C20H34O6,370.235539,20-hydroxy-PGF2a,3.0
DTXSID10390601,C20H30O3,318.219495,5(S)-HEPE,3.0
DTXSID10396406,C22H45NO2,355.34503,Eicosanoyl-EA,6.0
DTXSID1040116,C3H6N2O2,102.042927,Malonamide,3.0
DTXSID1040451,C4H9N3O2,131.069477,Creatine,5.0
DTXSID1040459,C18H24N5O8P,469.136249,Bucladesine,6.0
DTXSID1040613,C10H16N4O7S,336.07397,S-Nitroso-L-glutathione,5.0
DTXSID1040661,C10H11ClO3,214.039672,Clofibric Acid,3.0
DTXSID1040748,C29H46N2O3S,502.322914,GW 7647,6.0
DTXSID1040790,C18H36O2,284.27153,(+)-Isostearic acid,2.0
DTXSID1040956,C9H18NO4,204.123583,Acetylcarnitine,3.0
DTXSID1041003,C18H32O2,280.24023,"9(Z),11(E)-Conjugated Linoleic Acid",1.0
DTXSID1041057,C26H40O5,432.287574,Latanoprost,3.0
DTXSID1041132,C15H14N2O,238.110613,SU 5416,6.0
DTXSID1041421,C11H10O4,206.057909,Citropten,3.0
DTXSID1042106,C18H22N2O,282.173213,AG-17,5.0
DTXSID10424293,C21H32O3,332.235145,Leukotriene A4 methyl ester,3.0
DTXSID10432994,C16H18N2OS,286.113984,Pifithrin-a,3.0
DTXSID10436952,C17H22O2,258.16198,O-1821,6.0
DTXSID1043706,C20H28O3,316.203845,"15-deoxy-d-12,14-PGJ2",5.0
DTXSID1043835,C15H23NO3,265.167794,1-(2-(allyloxy)phenoxy)-3-(isopropylamino)propan-2-ol,3.0
DTXSID1043881,C19H24N2,280.193949,Imipramine,3.0
DTXSID10440190,C21H42O3S,374.285466,2-thio-Acetyl MAGE,3.0
DTXSID1044223,C24H21F2NO3,409.14895,Ezetimibe,3.0
DTXSID1044516,C20H39NO2,325.298079,Oleoyl Ethanolamide,3.0
DTXSID1044647,C11H13N,159.104799,Pargyline,3.0
DTXSID1045033,C23H27N3O7,457.1849,Minocycline,3.0
DTXSID1045118,C18H15NO3,293.105193,Oxaprozin,6.0
DTXSID10451600,C7H15NO2,145.110279,"N,N-dimethyl-L-Valine",5.0
DTXSID10452394,C34H37NO4,523.272259,Deoxynojirimycin Tetrabenzyl Ether,3.0
DTXSID1045245,C7H5ClN2O,168.009041,Zoxazolamine,5.0
DTXSID1045291,C19H20N2O3,324.147393,p-Hydroxyphenylbutazone,4.0
DTXSID1045409,C14H12ClNO2,261.055656,Tolfenamic Acid,6.0
DTXSID1045582,C20H34O5,354.240624,PGF2a,1.0
DTXSID1045790,C16H18N2,238.146999,Nomifensin,3.0
DTXSID1045871,C15H12ClNO2,273.055656,Carprofen,3.0
DTXSID1045877,C4H9NO3,119.058243,Aminohydroxybutyric Acid,5.0
DTXSID1045879,C8H15NO3,173.105193,Acexamic Acid,6.0
DTXSID1045906,C14H19N3O,245.152812,Ramifenazone,3.0
DTXSID1046263,C27H46O2,402.349781,d-Tocopherol,3.0
DTXSID1046348,C3H8NO6P,185.008923,Phospho-L-serine,3.0
DTXSID1046421,C6H6O4S,173.998679,4-Hydroxybenzenesulfonic acid,1.0
DTXSID1046500,C22H29ClO6,424.165266,Cloprostenol,3.0
DTXSID1046508,C21H21FN2O,336.163792,YM-53601,3.0
DTXSID1046685,C21H21FN2O4S,416.120606,BAY-u3405,3.0
DTXSID10468697,C18H18N4,290.153147,WZ811,3.0
DTXSID1046920,C20H23N3O2S,369.151098,Tenovin-1,3.0
DTXSID1047025,C3H7NO2,89.047678,Sarcosine,3.0
DTXSID1047441,C6H13NO2,131.094629,L-Isoleucine,4.0
DTXSID1047493,C12H18N2O4,254.126657,Midodrine,3.0
DTXSID1047780,C11H17N,163.1361,Mephentermine,3.0
DTXSID1048546,C19H17ClN2O4,372.087685,Glafenine,6.0
DTXSID1048704,C6H12O6,180.063388,L-(-)Sorbose,2.0
DTXSID10578189,C17H34O2S,302.227951,9-Thiastearic Acid,6.0
DTXSID10578543,C19H41O6P,396.264076,1-Hexadecyl Lysophosphatidic Acid,6.0
DTXSID10581754,C20H25N3O2,339.194677,Pimelic Diphenylamide 106,6.0
DTXSID10585196,C20H38N6O4,426.295454,Leupeptin,3.0
DTXSID1058892,C9H8O,132.057515,1-Indanone,3.0
DTXSID1059282,C8H9NO,135.068414,2-Phenylacetamide,3.0
DTXSID10597911,C16H20N2,240.162649,TMB,3.0
DTXSID1060005,C8H8O4,168.042259,Homogentisic acid,2.0
DTXSID1060134,C20H40O2,312.302831,Arachidic Acid,3.0
DTXSID1060269,C20H36O2,308.27153,Linoleic Acid ethyl ester,3.0
DTXSID1060633,C8H8O3,152.047344,2-Hydroxyphenylacetic acid,6.0
DTXSID1060974,C6H6O3,126.031694,4-Hydroxy-6-methylpyran-2-one,6.0
DTXSID10610371,C19H26O2,286.19328,O-1918,3.0
DTXSID1061601,C7H6O3,138.031694,"2,5-Dihydroxybenzaldehyde",4.0
DTXSID10634936,C29H57NO9P,594.37709,POV-PC,3.0
DTXSID1064116,C11H14O4,210.089209,Ethyl Everninate,2.0
DTXSID10648876,C25H28ClN3O2S,469.159076,CAY10589,6.0
DTXSID10658096,C19H35NO4,341.256609,CAY10580,6.0
DTXSID1066362,C17H20O4,288.136159,4-Methylumbelliferyl heptanoate,3.0
DTXSID10693942,C22H31NOS,357.212635,Farnesyl Thiosalicylic Acid Amide,3.0
DTXSID10693962,C23H46NO7P,479.301189,Glycerophospho-N-Oleoyl Ethanolamine,6.0
DTXSID10693967,C32H42N2O2,486.324629,Docosahexaenoyl Serotonin,6.0
